Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
1170,Schoen Erhard,the siege of Munster,1500-01-01,1600-12-31,2/18/2016,1,1,2,,http://www.art-wallpaper.com/21657/Schoen+Erhard/The+siege+of+Munster?Width=1600&Height=1200,,DEU,Germany,Herzogliches museum / Gotha,herzogliches Museum Gotha,,,imgs/1500_DEU__1170.jpg,gaumy
1171,Peter Harrer,burning of Little jack Rohrbach / leader of te peasants during the wwar in Neckargartach,1551-01-01,1551-12-31,2/18/2016,1,5,2,Scanned from: Von Helibrunna nach Heilbronn / by Christard Schrenk / Stuttgart 1998 / https://commons.wikimedia.org/wiki/Special:BookSources/380621333X class=internal mw-magiclink-isbn>ISBN 3-8062-1333-X / p. 59,wikipedia,,DEU,Germany,Unknown,,,,imgs/1551_DEU__1171.jpg,gaumy
1172,Unknown,Flugschrift Das Königreich von Münster pamphlet the kingdom of Munster,1536-01-01,1536-12-31,2/18/2016,1,1,2,,wikipedia,,DEU,Germany,deutsches historisches museum,,,,imgs/1536_DEU__1172.jpg,gaumy
1173,unknown,Luther and the Bunschuh,1522-01-01,1522-12-31,2/18/2016,1,1,2,,http://www.crdp-strasbourg.fr/data/histoire/reforme/realite_sociale.php?parent=35,,DEU,Germany,Unknown,,,,imgs/1522_DEU__1173.jpg,gaumy
1174,Unknown,iconoclasm,1522-01-01,1522-12-31,2/18/2016,1,1,2,,http://www.crdp-strasbourg.fr/data/histoire/reforme/realite_sociale.php?parent=35,,DEU,Germany,,,,,imgs/1522_DEU__1174.jpg,gaumy
1175,Lucas Cranach,protestant propaganda,1517-01-01,1555-12-31,2/18/2016,1,1,1,,http://www.alamy.com/stock-photo-events-protestant-reformation-1517-1555-propaganda-cartoon-hic-oscula-29123481.html,,DEU,Germany,Unknown,© INTERFOTO / Alamy Stock Photo,,,imgs/1517_DEU__1175.jpg,gaumy
1176,Unknown,gorgoneum caput,1517-01-01,1555-12-31,2/18/2016,1,1,2,CP1ET2,http://www.alamy.com/stock-photo-events-protestant-reformation-1517-1555-flyer-caricature-on-the-pope-47976770.html,,DEU,Germany,Unknown,© INTERFOTO / Alamy Stock Photo,,,imgs/1517_DEU__1176.jpg,gaumy
1177,Unknown,caricature of the opponents of Luther,1520-01-01,1520-12-31,2/18/2016,1,1,2,C41NTB,http://www.alamy.com/stock-photo-events-protestant-reformation-1517-1555-caricature-on-the-opponents-36918459.html,,DEU,Germany,unknown,© INTERFOTO / Alamy Stock Photo,,,imgs/1520_DEU__1177.jpg,gaumy
1178,Unknown,conciliabulum malignantium,1521-01-01,1521-12-31,2/18/2016,1,1,2,BKAFBP,http://www.alamy.com/stock-photo-events-protestant-reformation-1517-1555-propaganda-cartoon-martin-29120442.html,,DEU,Germany,Unknown,© INTERFOTO / Alamy Stock Photo,,,imgs/1521_DEU__1178.jpg,gaumy
1179,Albrecht Durer,Ship of fools,1500-01-01,1515-12-31,2/18/2016,1,1,1,,https://fr.pinterest.com/pin/515873332290874334/,,DEU,Germany,,,,,imgs/1500_DEU__1179.jpg,gaumy
1180,Hans Holbein the Younger,Luther as Hercules germanicus,1500-01-01,1543-12-31,2/18/2016,1,1,2,Ms A 2 / p. 150,http://ieg-ego.eu/en/mediainfo/luther-as-hercules-germanicus,,DEU,Germany,Zentralbibliothek Zurich,,,,imgs/1500_DEU__1180.jpg,gaumy
1181,Petrarch master,Rebellious peasants with the bundschuh-union banner surrounding a knight,1539-01-01,1539-12-31,2/18/2016,1,1,2,german translation of 'De remediis Utriusque Fortunae' (Remedies for Good and Bad Fortune) by Francesco Petrarca,https://fr.pinterest.com/pin/532409987174296852/,,DEU,Germany,private collection,,,,imgs/1539_DEU__1181.jpg,gaumy
1182,Hiob Ludolff,Masaniello talking with two men in a church 1647,1701-01-01,1701-12-31,2/18/2016,1,5,3,&nbsp,Caspar Luyken / Allgemeine Schau-Bühne der Welt. Deel II. Frankfurt am Main: ,Johann David Zunnern / 1701 / p. 1389.,http://www.europeana.eu/portal/record/90402/RP_P_1896_A_19368_1983.html,,NLD,,Rijksmuseum / Netherlands,,imgs/1701_NLD__1182.jpeg,gaumy
1183,hendrik Cornelisz Vroom,Battle between Dutch and Spanish Ships on the Haarlemmermeer,1629-01-01,1629-12-31,2/18/2016,3,1,13,,http://www.europeana.eu/portal/record/90402/SK_A_602.html,,NLD,Netherlands,Rijksmuseum,rijksmuseum,,,imgs/1629_NLD__1183.jpeg,gaumy
1184,Adriaen Thomasz Key,portrait of William I / prince of Oranje,1579-01-01,1579-12-31,2/18/2016,3,1,13,,http://www.europeana.eu/portal/record/90402/SK_A_3148.html,,NLD,Netherlands,Rijksmuseum,rijksmuseum,,,imgs/1579_NLD__1184.jpeg,gaumy
